dataset,changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,rmse,mae,r2
trace1.csv,0.001,True,additive,0.01,31.424866217644826,24.67284393310547,-0.9644582271575928
trace1.csv,0.001,True,additive,0.1,31.36679054854682,24.5616455078125,-0.9572041034698486
trace1.csv,0.001,True,additive,1.0,31.39708355036738,24.6204891204834,-0.9609863758087158
trace1.csv,0.001,True,additive,10.0,31.377015311271244,24.628158569335938,-0.9584803581237793
trace1.csv,0.001,True,multiplicative,0.01,32.364823675148266,25.704923629760742,-1.0837347507476807
trace1.csv,0.001,True,multiplicative,0.1,29.01601204642232,22.303632736206055,-0.6748325824737549
trace1.csv,0.001,True,multiplicative,1.0,29.517110743772946,22.687345504760742,-0.7331799268722534
trace1.csv,0.001,True,multiplicative,10.0,29.39585571144022,22.460044860839844,-0.718969464302063
trace1.csv,0.001,False,additive,0.01,47.006313468079746,41.603336334228516,-3.395500659942627
trace1.csv,0.001,False,additive,0.1,47.006313468079746,41.603336334228516,-3.395500659942627
trace1.csv,0.001,False,additive,1.0,47.006313468079746,41.603336334228516,-3.395500659942627
trace1.csv,0.001,False,additive,10.0,47.006313468079746,41.603336334228516,-3.395500659942627
trace1.csv,0.001,False,multiplicative,0.01,47.006313468079746,41.603336334228516,-3.395500659942627
trace1.csv,0.001,False,multiplicative,0.1,47.006313468079746,41.603336334228516,-3.395500659942627
trace1.csv,0.001,False,multiplicative,1.0,47.006313468079746,41.603336334228516,-3.395500659942627
trace1.csv,0.001,False,multiplicative,10.0,47.006313468079746,41.603336334228516,-3.395500659942627
trace1.csv,0.01,True,additive,0.01,23.39379127492685,16.84581184387207,-0.08867228031158447
trace1.csv,0.01,True,additive,0.1,23.339350478574136,16.8062744140625,-0.0836111307144165
trace1.csv,0.01,True,additive,1.0,23.315260654655596,16.787290573120117,-0.0813753604888916
trace1.csv,0.01,True,additive,10.0,23.331888353927898,16.76593780517578,-0.08291840553283691
trace1.csv,0.01,True,multiplicative,0.01,22.646032178673156,16.528730392456055,-0.020187973976135254
trace1.csv,0.01,True,multiplicative,0.1,22.50726472346276,16.724172592163086,-0.007723450660705566
trace1.csv,0.01,True,multiplicative,1.0,22.547503699871147,16.793750762939453,-0.011330008506774902
trace1.csv,0.01,True,multiplicative,10.0,22.514262786256044,16.761531829833984,-0.008350253105163574
trace1.csv,0.01,False,additive,0.01,38.80084397489393,32.81830978393555,-1.9948720932006836
trace1.csv,0.01,False,additive,0.1,38.80084397489393,32.81830978393555,-1.9948720932006836
trace1.csv,0.01,False,additive,1.0,38.80084397489393,32.81830978393555,-1.9948720932006836
trace1.csv,0.01,False,additive,10.0,38.80084397489393,32.81830978393555,-1.9948720932006836
trace1.csv,0.01,False,multiplicative,0.01,38.80084397489393,32.81830978393555,-1.9948720932006836
trace1.csv,0.01,False,multiplicative,0.1,38.80084397489393,32.81830978393555,-1.9948720932006836
trace1.csv,0.01,False,multiplicative,1.0,38.80084397489393,32.81830978393555,-1.9948720932006836
trace1.csv,0.01,False,multiplicative,10.0,38.80084397489393,32.81830978393555,-1.9948720932006836
trace1.csv,0.05,True,additive,0.01,23.460501733798502,16.849573135375977,-0.09489011764526367
trace1.csv,0.05,True,additive,0.1,23.424310090644212,16.837852478027344,-0.09151458740234375
trace1.csv,0.05,True,additive,1.0,23.450560163302203,16.84348487854004,-0.09396231174468994
trace1.csv,0.05,True,additive,10.0,23.437677082664358,16.83246421813965,-0.09276080131530762
trace1.csv,0.05,True,multiplicative,0.01,23.037544456600486,16.634252548217773,-0.05576753616333008
trace1.csv,0.05,True,multiplicative,0.1,22.666859046269234,16.586366653442383,-0.022065281867980957
trace1.csv,0.05,True,multiplicative,1.0,22.685093439425565,16.596010208129883,-0.02371037006378174
trace1.csv,0.05,True,multiplicative,10.0,22.66009934971739,16.547592163085938,-0.021455764770507812
trace1.csv,0.05,False,additive,0.01,38.351081078919734,32.3338623046875,-1.9258439540863037
trace1.csv,0.05,False,additive,0.1,38.351081078919734,32.3338623046875,-1.9258439540863037
trace1.csv,0.05,False,additive,1.0,38.351081078919734,32.3338623046875,-1.9258439540863037
trace1.csv,0.05,False,additive,10.0,38.351081078919734,32.3338623046875,-1.9258439540863037
trace1.csv,0.05,False,multiplicative,0.01,38.351081078919734,32.3338623046875,-1.9258439540863037
trace1.csv,0.05,False,multiplicative,0.1,38.351081078919734,32.3338623046875,-1.9258439540863037
trace1.csv,0.05,False,multiplicative,1.0,38.351081078919734,32.3338623046875,-1.9258439540863037
trace1.csv,0.05,False,multiplicative,10.0,38.351081078919734,32.3338623046875,-1.9258439540863037
trace1.csv,0.1,True,additive,0.01,23.571824715328177,16.93415641784668,-0.10530555248260498
trace1.csv,0.1,True,additive,0.1,23.54278176516504,16.907135009765625,-0.10258352756500244
trace1.csv,0.1,True,additive,1.0,23.554455585508393,16.917888641357422,-0.10367727279663086
trace1.csv,0.1,True,additive,10.0,23.59015908103949,16.95168685913086,-0.1070256233215332
trace1.csv,0.1,True,multiplicative,0.01,23.117278588448457,16.666810989379883,-0.06308841705322266
trace1.csv,0.1,True,multiplicative,0.1,22.758696183066487,16.539125442504883,-0.030364155769348145
trace1.csv,0.1,True,multiplicative,1.0,22.761247809719677,16.552597045898438,-0.03059518337249756
trace1.csv,0.1,True,multiplicative,10.0,22.76324010543438,16.571195602416992,-0.03077542781829834
trace1.csv,0.1,False,additive,0.01,38.61406189935459,32.62763977050781,-1.9661076068878174
trace1.csv,0.1,False,additive,0.1,38.61406189935459,32.62763977050781,-1.9661076068878174
trace1.csv,0.1,False,additive,1.0,38.61406189935459,32.62763977050781,-1.9661076068878174
trace1.csv,0.1,False,additive,10.0,38.61406189935459,32.62763977050781,-1.9661076068878174
trace1.csv,0.1,False,multiplicative,0.01,38.61406189935459,32.62763977050781,-1.9661076068878174
trace1.csv,0.1,False,multiplicative,0.1,38.61406189935459,32.62763977050781,-1.9661076068878174
trace1.csv,0.1,False,multiplicative,1.0,38.61406189935459,32.62763977050781,-1.9661076068878174
trace1.csv,0.1,False,multiplicative,10.0,38.61406189935459,32.62763977050781,-1.9661076068878174
trace1.csv,0.5,True,additive,0.01,23.67697191414978,17.02280616760254,-0.11518847942352295
trace1.csv,0.5,True,additive,0.1,23.682026494923317,17.028717041015625,-0.11566460132598877
trace1.csv,0.5,True,additive,1.0,23.67236488767018,17.02214813232422,-0.1147545576095581
trace1.csv,0.5,True,additive,10.0,23.69163907810161,17.031644821166992,-0.11657059192657471
trace1.csv,0.5,True,multiplicative,0.01,23.321583141681764,16.765705108642578,-0.081961989402771
