changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,mae,mse,rmse,r2,time_seconds
0.01,True,multiplicative,0.1,16.724172592163086,506.57696533203125,22.50726472346276,-0.007723450660705566,140.849477
0.01,True,multiplicative,10.0,16.761531829833984,506.89202880859375,22.514262786256044,-0.008350253105163574,142.073264
0.01,True,multiplicative,1.0,16.793750762939453,508.3899230957031,22.547503699871147,-0.011330008506774902,138.105225
0.01,True,multiplicative,0.01,16.528730392456055,512.8427734375,22.646032178673156,-0.020187973976135254,137.787152
0.05,True,multiplicative,10.0,16.547592163085938,513.4801025390625,22.66009934971739,-0.021455764770507812,273.663984
0.05,True,multiplicative,0.1,16.586366653442383,513.7864990234375,22.666859046269234,-0.022065281867980957,275.858606
0.05,True,multiplicative,1.0,16.596010208129883,514.6134643554688,22.685093439425565,-0.02371037006378174,275.680234
0.1,True,multiplicative,0.1,16.539125442504883,517.958251953125,22.758696183066487,-0.030364155769348145,274.65165
0.1,True,multiplicative,1.0,16.552597045898438,518.0744018554688,22.761247809719677,-0.03059518337249756,252.903667
0.1,True,multiplicative,10.0,16.571195602416992,518.1651000976562,22.76324010543438,-0.03077542781829834,266.038147
0.5,True,multiplicative,10.0,16.568422317504883,520.4014892578125,22.812310037736477,-0.035224318504333496,270.883108
0.5,True,multiplicative,0.1,16.54547119140625,522.3043212890625,22.853978237695564,-0.03900957107543945,272.850817
0.5,True,multiplicative,1.0,16.5926456451416,523.6912231445312,22.884300800866328,-0.041768550872802734,275.474487
0.05,True,multiplicative,0.01,16.634252548217773,530.7284545898438,23.037544456600486,-0.05576753616333008,277.015795
0.1,True,multiplicative,0.01,16.666810989379883,534.4085693359375,23.117278588448457,-0.06308841705322266,276.097136
0.01,True,additive,1.0,16.787290573120117,543.6013793945312,23.315260654655596,-0.0813753604888916,121.755638
0.5,True,multiplicative,0.01,16.765705108642578,543.896240234375,23.321583141681764,-0.081961989402771,270.111478
0.01,True,additive,10.0,16.76593780517578,544.3770141601562,23.331888353927898,-0.08291840553283691,121.14086
0.01,True,additive,0.1,16.8062744140625,544.7252807617188,23.339350478574136,-0.0836111307144165,118.630602
0.01,True,additive,0.01,16.84581184387207,547.2694702148438,23.39379127492685,-0.08867228031158447,115.475228
0.05,True,additive,0.1,16.837852478027344,548.6983032226562,23.424310090644212,-0.09151458740234375,250.856636
0.05,True,additive,10.0,16.83246421813965,549.32470703125,23.437677082664358,-0.09276080131530762,254.659712
0.05,True,additive,1.0,16.84348487854004,549.9287719726562,23.450560163302203,-0.09396231174468994,259.044608
0.05,True,additive,0.01,16.849573135375977,550.3951416015625,23.460501733798502,-0.09489011764526367,246.182615
0.1,True,additive,0.1,16.907135009765625,554.2625732421875,23.54278176516504,-0.10258352756500244,251.666541
0.1,True,additive,1.0,16.917888641357422,554.8123779296875,23.554455585508393,-0.10367727279663086,242.775689
0.1,True,additive,0.01,16.93415641784668,555.6309204101562,23.571824715328177,-0.10530555248260498,239.37902
0.1,True,additive,10.0,16.95168685913086,556.49560546875,23.59015908103949,-0.1070256233215332,261.419677
0.5,True,additive,1.0,17.02214813232422,560.380859375,23.67236488767018,-0.1147545576095581,234.289895
0.5,True,additive,0.01,17.02280616760254,560.5989990234375,23.67697191414978,-0.11518847942352295,245.322507
0.5,True,additive,0.1,17.028717041015625,560.83837890625,23.682026494923317,-0.11566460132598877,243.757222
0.5,True,additive,10.0,17.031644821166992,561.2937622070312,23.69163907810161,-0.11657059192657471,242.199906
0.001,True,multiplicative,0.1,22.303632736206055,841.928955078125,29.01601204642232,-0.6748325824737549,65.813913
0.001,True,multiplicative,10.0,22.460044860839844,864.1163330078125,29.39585571144022,-0.718969464302063,65.357517
0.001,True,multiplicative,1.0,22.687345504760742,871.2598266601562,29.517110743772946,-0.7331799268722534,65.250442
0.001,True,additive,0.1,24.5616455078125,983.8755493164062,31.36679054854682,-0.9572041034698486,53.739886
0.001,True,additive,10.0,24.628158569335938,984.51708984375,31.377015311271244,-0.9584803581237793,55.089154
0.001,True,additive,1.0,24.6204891204834,985.77685546875,31.39708355036738,-0.9609863758087158,50.901253
0.001,True,additive,0.01,24.67284393310547,987.522216796875,31.424866217644826,-0.9644582271575928,53.235889
0.001,True,multiplicative,0.01,25.704923629760742,1047.4818115234375,32.364823675148266,-1.0837347507476807,58.761245
0.05,False,additive,0.01,32.3338623046875,1470.805419921875,38.351081078919734,-1.9258439540863037,219.437046
0.05,False,additive,0.1,32.3338623046875,1470.805419921875,38.351081078919734,-1.9258439540863037,221.799112
0.05,False,additive,1.0,32.3338623046875,1470.805419921875,38.351081078919734,-1.9258439540863037,223.78539
0.05,False,additive,10.0,32.3338623046875,1470.805419921875,38.351081078919734,-1.9258439540863037,224.71833
0.05,False,multiplicative,0.01,32.3338623046875,1470.805419921875,38.351081078919734,-1.9258439540863037,214.652222
0.05,False,multiplicative,0.1,32.3338623046875,1470.805419921875,38.351081078919734,-1.9258439540863037,215.383706
0.05,False,multiplicative,1.0,32.3338623046875,1470.805419921875,38.351081078919734,-1.9258439540863037,212.81936
0.05,False,multiplicative,10.0,32.3338623046875,1470.805419921875,38.351081078919734,-1.9258439540863037,215.147846
0.1,False,multiplicative,10.0,32.62763977050781,1491.0457763671875,38.61406189935459,-1.9661076068878174,200.728279
0.1,False,multiplicative,1.0,32.62763977050781,1491.0457763671875,38.61406189935459,-1.9661076068878174,199.254291
0.1,False,multiplicative,0.1,32.62763977050781,1491.0457763671875,38.61406189935459,-1.9661076068878174,199.689954
0.1,False,multiplicative,0.01,32.62763977050781,1491.0457763671875,38.61406189935459,-1.9661076068878174,200.118725
0.1,False,additive,1.0,32.62763977050781,1491.0457763671875,38.61406189935459,-1.9661076068878174,199.244894
0.1,False,additive,0.1,32.62763977050781,1491.0457763671875,38.61406189935459,-1.9661076068878174,198.470004
0.1,False,additive,0.01,32.62763977050781,1491.0457763671875,38.61406189935459,-1.9661076068878174,193.615183
0.1,False,additive,10.0,32.62763977050781,1491.0457763671875,38.61406189935459,-1.9661076068878174,199.188823
0.01,False,additive,0.1,32.81830978393555,1505.5054931640625,38.80084397489393,-1.9948720932006836,68.820195
0.01,False,additive,1.0,32.81830978393555,1505.5054931640625,38.80084397489393,-1.9948720932006836,69.023989
0.01,False,multiplicative,10.0,32.81830978393555,1505.5054931640625,38.80084397489393,-1.9948720932006836,69.825243
0.01,False,additive,10.0,32.81830978393555,1505.5054931640625,38.80084397489393,-1.9948720932006836,69.979476
0.01,False,multiplicative,0.01,32.81830978393555,1505.5054931640625,38.80084397489393,-1.9948720932006836,70.353605
0.01,False,multiplicative,0.1,32.81830978393555,1505.5054931640625,38.80084397489393,-1.9948720932006836,71.204261
0.01,False,multiplicative,1.0,32.81830978393555,1505.5054931640625,38.80084397489393,-1.9948720932006836,70.399411
0.01,False,additive,0.01,32.81830978393555,1505.5054931640625,38.80084397489393,-1.9948720932006836,69.835092
0.5,False,additive,0.01,33.183509826660156,1529.7322998046875,39.111792336898695,-2.0430660247802734,198.487724
0.5,False,multiplicative,0.01,33.183509826660156,1529.7322998046875,39.111792336898695,-2.0430660247802734,197.695495
0.5,False,additive,10.0,33.183509826660156,1529.7322998046875,39.111792336898695,-2.0430660247802734,198.375189
0.5,False,additive,1.0,33.183509826660156,1529.7322998046875,39.111792336898695,-2.0430660247802734,197.955859
0.5,False,additive,0.1,33.183509826660156,1529.7322998046875,39.111792336898695,-2.0430660247802734,198.06816
0.5,False,multiplicative,0.1,33.183509826660156,1529.7322998046875,39.111792336898695,-2.0430660247802734,198.288569
0.5,False,multiplicative,1.0,33.183509826660156,1529.7322998046875,39.111792336898695,-2.0430660247802734,198.202661
0.5,False,multiplicative,10.0,33.183509826660156,1529.7322998046875,39.111792336898695,-2.0430660247802734,198.504913
0.001,False,additive,0.1,41.603336334228516,2209.593505859375,47.006313468079746,-3.395500659942627,32.888866
0.001,False,additive,1.0,41.603336334228516,2209.593505859375,47.006313468079746,-3.395500659942627,32.926506
0.001,False,additive,10.0,41.603336334228516,2209.593505859375,47.006313468079746,-3.395500659942627,33.0724
0.001,False,multiplicative,0.01,41.603336334228516,2209.593505859375,47.006313468079746,-3.395500659942627,32.949034
0.001,False,multiplicative,0.1,41.603336334228516,2209.593505859375,47.006313468079746,-3.395500659942627,33.031719
0.001,False,multiplicative,1.0,41.603336334228516,2209.593505859375,47.006313468079746,-3.395500659942627,33.055475
0.001,False,multiplicative,10.0,41.603336334228516,2209.593505859375,47.006313468079746,-3.395500659942627,33.066168
0.001,False,additive,0.01,41.603336334228516,2209.593505859375,47.006313468079746,-3.395500659942627,33.029988
